to_chuc_xhtn,ngay_cong_bo,ngay_cong_bo_dt,to_chuc_phat_hanh,thang_diem,loai_hinh_chuan,linh_vuc,loai_xhtn_chuan,hanh_dong_chuan,bac_xhtn_chuan,bac_thu_tu,trien_vong_chuan,da_het_hieu_luc,theo_doi_ngan_han,bao_mat,phi_tren_5pc,ghi_chu_bac,ma_trai_phieu,ky_han,loai_rating_goc,bao_cao_vi,bao_cao_en,bao_cao_chi_tiet,link_to_chuc_phat_hanh,issuer_id,loai_hinh_goc,loai_y_kien_goc,trang_thai_goc,bac_xhtn_goc,trien_vong_goc,thoi_gian_scrape,file_nguon
Saigon Ratings,06/05/2026,2026-05-06,Công ty Cổ phần Vinhomes,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,VHM12603,,,https://saigonratings.com/xhtntp-vhm12603-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnAA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,06/05/2026,2026-05-06,Công ty Cổ phần Vinhomes,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,VHM12602,,,https://saigonratings.com/xhtntp-vhm12602-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnAA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,06/05/2026,2026-05-06,Công ty Cổ phần Vinhomes,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,AA,3.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-vinhomes-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnAA,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,04/05/2026,2026-05-04,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,TSO12601,,,https://saigonratings.com/xhtntp-tso12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnA,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,04/05/2026,2026-05-04,Công ty TNHH Thăng Long,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-thang_long_cap_nhat-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu (Cập nhật thông tin),vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,29/04/2026,2026-04-29,Công ty Cổ phần Chứng khoán Vietcap,Quốc gia,,Dịch vụ tài chính,Tổ chức phát hành,Cập nhật,A,6.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,4089.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,A,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Fitch Ratings,28/04/2026,2026-04-28,Saigon Treasure Commercial Joint Stock Bank,Quốc tế,,,Tổ chức phát hành,Giữ nguyên,BB-,13.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/saigon-thuong-tin-commercial-joint-stock-bank-80361310,80361310.0,,Tổ chức phát hành,Affirmed,BB-,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
FiinRatings,25/04/2026,2026-04-25,Công ty Cổ phần Hoàng Anh Gia Lai,Quốc gia,,Nông nghiệp,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,HAG12601,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-hoang-anh-gia-lai-id3060.html,3060.0,,XHTN Công cụ nợ,XHTN Lần đầu,A,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,25/04/2026,2026-04-25,Công ty Cổ phần Đầu tư Nam Long,Quốc gia,,Bất động sản,Tổ chức phát hành,Cập nhật,A-,7.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,A-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,25/04/2026,2026-04-25,Công ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,Quốc gia,,Dịch vụ tài chính,Tổ chức phát hành,Cập nhật,A,6.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-trach-nhiea-hữa-hạn-mot-thanh-vien-hoae-credit-viet-naa-id593806.html,593806.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,A,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
S&I Ratings,24/04/2026,2026-04-24,Công ty Cổ phần Chứng khoán KAFI,Quốc gia,Định chế tài chính,Chứng khoán,Tổ chức phát hành,Lần đầu,A,6.0,Ổn định,False,False,False,False,,,,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575.0,Tổ chức tài chính,Tổ chức phát hành,Lần đầu,A,Ổn định,2026-09-20 08:47:55,sniratings_xhtn_20260920.csv
Saigon Ratings,24/04/2026,2026-04-24,Công ty Cổ phần In và Bao bì Goldsun,Quốc gia,,Bao bì,Tổ chức phát hành,Giám sát,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/ket-qua-giam-sat-xep-hang-cong-ty-co-phan-in-va-bao-bi-goldsun-nam-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,24/04/2026,2026-04-24,Công ty Cổ phần Tập đoàn Gelex,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Giám sát,A,6.0,Tích cực,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-gelex.7.html,7.0,Doanh nghiệp,Doanh nghiệp,Giám sát theo dõi,A,Tích cực,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,22/04/2026,2026-04-22,Ngân hàng TMCP Việt Á,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Kết thúc,WR,,,True,False,False,False,Đã rút xếp hạng,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202604_vab_withdrawal_rating_announcement_vn.113.html,https://visrating.com/rating-results/report/202604_vab_withdrawal_rating_announcement_vn.113.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12.0,Định chế tài chính,Doanh nghiệp,Kết thúc,WR,,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,22/04/2026,2026-04-22,Ngân hàng TMCP Việt Á,Quốc gia,Định chế tài chính,,Công cụ nợ,Kết thúc,WR,,,True,False,False,False,Đã rút xếp hạng,VABCLH2330001,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202604_vab_withdrawal_rating_announcement_vn.112.html,https://visrating.com/rating-results/report/202604_vab_withdrawal_rating_announcement_en.112.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12.0,Định chế tài chính,Công cụ nợ,Kết thúc,WR,,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,22/04/2026,2026-04-22,Ngân hàng TMCP Việt Á,Quốc gia,Định chế tài chính,,Công cụ nợ,Kết thúc,WR,,,True,False,False,False,Đã rút xếp hạng,VABCLH2431001,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202604_vab_withdrawal_rating_announcement_vn.111.html,https://visrating.com/rating-results/report/202604_vab_withdrawal_rating_announcement_en.111.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12.0,Định chế tài chính,Công cụ nợ,Kết thúc,WR,,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Fitch Ratings,21/04/2026,2026-04-21,VietCredit General Finance Joint Stock Company,Quốc tế,,,Tổ chức phát hành,Lần đầu,B-,16.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/vietcredit-general-finance-joint-stock-company-97848393,97848393.0,,Tổ chức phát hành,New Rating,B-,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Saigon Ratings,21/04/2026,2026-04-21,Công ty Cổ phần Thương mại Xuất nhập khẩu Tam Tài Lộc,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB-,13.0,Ổn định,False,False,False,False,,LOC32601,,,https://saigonratings.com/xhtntp-loc32601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,21/04/2026,2026-04-21,Công ty Cổ phần Đầu Tư và Phát triển Bất động sản Minh An,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,MAD32601,,,https://saigonratings.com/xhtntp-mad32601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,21/04/2026,2026-04-21,Công ty Cổ phần Đầu Tư và Phát triển Bất động sản Minh An,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,MAD12602,,,https://saigonratings.com/xhtntp-mad12602-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,21/04/2026,2026-04-21,Công ty Cổ phần Tasco Auto,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Giám sát,BBB+,8.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tasco-auto.28.html,28.0,Doanh nghiệp,Doanh nghiệp,Giám sát theo dõi,BBB+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,21/04/2026,2026-04-21,Ngân hàng TMCP An Bình,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Giám sát,A-,7.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-an-binh.6.html,6.0,Định chế tài chính,Doanh nghiệp,Giám sát theo dõi,A-,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,20/04/2026,2026-04-20,Công ty Cổ phần Vinpearl,Quốc gia,,Du lịch,Tổ chức phát hành,Lần đầu,A+,5.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-vinpearl-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,20/04/2026,2026-04-20,Công ty TNHH Hóa chất Hyosung Vina,Quốc gia,,Công nghiệp hóa chất,Tổ chức phát hành,Lần đầu,B,15.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-hyosungvina-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,20/04/2026,2026-04-20,Công ty TNHH Phát triển Bất động sản An Gia Hưng,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,B-,16.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-an_gia_hung-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,17/04/2026,2026-04-17,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Quốc gia,,Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,VPI12601,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328.0,,XHTN Công cụ nợ,XHTN Lần đầu,BB+,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
VIS Rating,16/04/2026,2026-04-16,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-pvoil-16042026-SDq.119.html,https://visrating.com/rating-results/report/rating-announcement-pvoil-16042026-yDJ.119.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tong-cong-ty-dau-viet-nam-cong-ty-co-phan.38.html,38.0,Doanh nghiệp,Doanh nghiệp,Xếp hạng lần đầu,AA+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
FiinRatings,15/04/2026,2026-04-15,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Quốc gia,,Bất động sản,Tổ chức phát hành,Cập nhật,BB+,11.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,BB+,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,15/04/2026,2026-04-15,Công ty TNHH Mml Farm Nghệ An,Quốc gia,,Chăn nuôi,Tổ chức phát hành,Lần đầu,A-,7.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-mal-fara-nghe-an-id7225.html,7225.0,,XHTN Tổ chức phát hành,XHTN Lần đầu,A-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
TMR,15/04/2026,2026-04-15,Công ty Cổ phần Bất động sản Bcons PS,Quốc gia,Doanh nghiệp,,Công cụ nợ,Lần đầu,BBB-,10.0,Ổn định,False,False,False,False,,BPS12601,,,https://tmr.vn/wp-content/uploads/2026/04/BconsPS_XHTN-PH-trai-phieu_da-ky.pdf,,,,,Doanh nghiệp,Công cụ nợ,Xếp hạng lần đầu,BBB-,Ổn định,2026-09-20 08:47:54,tmr_xhtn_20260920.csv
Saigon Ratings,14/04/2026,2026-04-14,Công ty Cổ phần Tandoland,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,B+,14.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-tandoland-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,14/04/2026,2026-04-14,Công ty TNHH MTV VIPICO,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-vipico-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,10/04/2026,2026-04-10,Công ty Cổ phần Kinh doanh F88,Quốc gia,,Dịch vụ tài chính,Tổ chức phát hành,Cập nhật,BBB,9.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,BBB,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,10/04/2026,2026-04-10,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Nam Quang,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-nam_quang-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,10/04/2026,2026-04-10,Công ty Cổ phần Dịch vụ Cáp treo Bà Nà,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Giám sát,BBB+,8.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-cap-treo-ba-na.24.html,24.0,Doanh nghiệp,Doanh nghiệp,Giám sát theo dõi,BBB+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
FiinRatings,08/04/2026,2026-04-08,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Quốc gia,,Nước và tiện ích,Công cụ nợ,Cập nhật,AAA,1.0,Ổn định,False,False,False,False,,XMH12501,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657.0,,XHTN Công cụ nợ,Cập nhật kết quả XHTN,AAA,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,08/04/2026,2026-04-08,Công ty Cổ phần Vinhomes,Quốc gia,,Bất động sản,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,VHM12601,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,3439.0,,XHTN Công cụ nợ,XHTN Lần đầu,A,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
VIS Rating,08/04/2026,2026-04-08,Công ty Cổ phần Chứng khoán Tiên Phong,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Nâng bậc,BBB+,8.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/tps-bao-cao-ket-qua-xep-hang-tin-nhiem-20260408.114.html,https://visrating.com/rating-results/report/tps-rating-announcement-20260408.114.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tien-phong-securities-corporation.21.html,21.0,Định chế tài chính,Doanh nghiệp,Nâng bậc,BBB+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
FiinRatings,07/04/2026,2026-04-07,Công ty Cổ phần Chứng khoán APG,Quốc gia,,Dịch vụ tài chính,Tổ chức phát hành,Cập nhật,BB-,13.0,Tiêu cực,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-apg-id2770.html,2770.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,BB-,Không thuận lợi,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,06/04/2026,2026-04-06,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Quốc gia,,Ngân hàng,Tổ chức phát hành,Cập nhật,AA-,4.0,Tích cực,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,AA-,Thuận lợi,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,03/04/2026,2026-04-03,Công ty Cổ Phần Phát Triển Tn,Quốc gia,,Bất động sản,Tổ chức phát hành,Cập nhật,B,15.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tn-id6147.html,6147.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,B,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,03/04/2026,2026-04-03,Công ty Cổ Phần Phát Triển Tn,Quốc gia,,Bất động sản,Công cụ nợ,Cập nhật,BB-,13.0,Ổn định,False,False,False,False,,TND12501,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tn-id6147.html,6147.0,,XHTN Công cụ nợ,Cập nhật kết quả XHTN,BB-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,03/04/2026,2026-04-03,Công ty TNHH Thăng Long,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-thang_long_2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,03/04/2026,2026-04-03,Tổng công ty cổ phần Bảo hiểm Ngân hàng TMCP Công Thương Việt Nam,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Giám sát,A+,5.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tong-cong-ty-co-phan-bao-hiem-ngan-hang-tmcp-cong-thuong-viet-nam.22.html,22.0,Định chế tài chính,Doanh nghiệp,Giám sát theo dõi,A+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,02/04/2026,2026-04-02,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Quốc gia,,Chăn nuôi,Tổ chức phát hành,Giám sát,A,6.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-baf-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnA,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,02/04/2026,2026-04-02,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Giám sát,A,6.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-sai-gon-ha-noi.25.html,25.0,Định chế tài chính,Doanh nghiệp,Giám sát theo dõi,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,01/04/2026,2026-04-01,Công ty Cổ phần Di chuyển Xanh và Thông minh GSM,Quốc gia,,Vận tải,Tổ chức phát hành,Giám sát,BBB+,8.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-gsm-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
TMR,01/04/2026,2026-04-01,Công ty Cổ phần Bất động sản Bcons PS,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,,,,https://tmr.vn/wp-content/uploads/2026/04/RN0004-01-202604-BconsPS-da-ky.pdf,,,,,Doanh nghiệp,Tổ chức phát hành,Xếp hạng lần đầu,BB+,Ổn định,2026-09-20 08:47:54,tmr_xhtn_20260920.csv
Saigon Ratings,31/03/2026,2026-03-31,Công ty Cổ Phần Đầu Tư Xây Dựng NEW TECH,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-new_tech-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,31/03/2026,2026-03-31,Công ty Cổ phần Năng lượng Bắc Hà,Quốc gia,,Sản xuất điện,Tổ chức phát hành,Giám sát,A-,7.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxhtn-bac_ha-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnA-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,30/03/2026,2026-03-30,Công ty Cổ phần Thời đại mới T&T,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,NTJ12601,,,https://saigonratings.com/xhtn-tp-ntj12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,30/03/2026,2026-03-30,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,A-,7.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-thai_son-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnA-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,29/03/2026,2026-03-29,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Quốc gia,,Ngân hàng,Tổ chức phát hành,Cập nhật,A,6.0,Tích cực,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,A,Thuận lợi,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,26/03/2026,2026-03-26,Công ty Cổ phần Phát triển Khu Công nghiệp và Đô thị Thủ Thừa,Quốc gia,,Cho thuê Bất động sản,Tổ chức phát hành,Giám sát,BBB,9.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-thu_thua-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,26/03/2026,2026-03-26,Công ty Cổ phần Tập đoàn Phượng Hoàng Xanh A&A,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Giám sát,A,6.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-phuong-hoang-xanh-aanda.5.html,5.0,Doanh nghiệp,Doanh nghiệp,Giám sát theo dõi,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
FiinRatings,25/03/2026,2026-03-25,Tập đoàn Vingroup - Công ty CP,Quốc gia,,Đa ngành,Tổ chức phát hành,Cập nhật,A-,7.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/tap-doan-vingroap---cong-ty-cp-id4400.html,4400.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,A-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,25/03/2026,2026-03-25,Công ty Cổ phần Thành Thành Công - Biên Hòa (SBT),Quốc gia,,Sản xuất đường,Tổ chức phát hành,Giám sát,A+,5.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxhtn-sbt-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
