ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,bao_mat,phi_tren_5pc,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
06/11/2024,Công ty Cổ phần Tư Vấn và Kinh Doanh Bất động sản TCO,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/kqxhtn-tco-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-06
23/10/2024,Công ty TNHH Khu Đô thị mới Trung Minh,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/gsxh6t-trung_minh-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-10-23
23/10/2024,Công ty TNHH Aqua City Hòa Bình,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/gsxh6t-aquacity-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-10-23
23/10/2024,Công ty Cổ phần Phát triển Nhiên liệu Sinh học Việt Nam,Hóa chất,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnCCC+,Tiêu cực,,https://saigonratings.com/gsxh6t-nhien-lieu-sinh-hoc-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-10-23
27/09/2024,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-nambaybay-2024/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-27
27/09/2024,Công ty Cổ phần Đầu tư và Phát triển Residence,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnB,Ổn định,,https://saigonratings.com/kqxhtn-residence-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-27
27/09/2024,Công ty TNHH Phát triển Bất động sản Nhà Sài Gòn,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnB-,Ổn định,,https://saigonratings.com/kqxhtn-nha_sai_gon-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-27
23/09/2024,Công ty Cổ phần Dịch vụ Cao ốc Masterise Lumiere Office,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-mlo-2024/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-23
16/09/2024,Công ty Cổ phần Sản xuất và Kinh doanh VinFast,Sản xuất ôtô,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxhtn-vinfast-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-16
12/09/2024,Công ty Cổ phần Sunshine Sky Villa,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/kqxhtn-sunshine-sky-villa-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-12
