ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,trang_thai_xep_hang,loai_y_kien,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
03/06/2025,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,HBXCH2444001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,1881003,FiinRatings,2026-09-25 14:05:53,2025-06-03
30/05/2025,Công ty TNHH Dịch vụ Du lịch Cáp treo Fansipan Sa Pa,Du lịch và Giải trí,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dich-vu-da-lich-cap-treo-fansipan-sa-pa-id8454.html,8454,FiinRatings,2026-09-25 14:05:53,2025-05-30
27/05/2025,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2025-05-27
19/05/2025,Công ty Cổ phần Nước Biwase - Long An,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,BWLCH2434001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,7305,FiinRatings,2026-09-25 14:05:53,2025-05-19
13/05/2025,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,1881003,FiinRatings,2026-09-25 14:05:53,2025-05-13
07/05/2025,"Công ty Cổ Phần Xây Dựng, Đầu Tư Bất Động Sản Việt Minh Hoàng",Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung--daa-tu-bat-dong-san-viet-minh-hoang-id795017.html,795017,FiinRatings,2026-09-25 14:05:53,2025-05-07
30/04/2025,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,143597,FiinRatings,2026-09-25 14:05:53,2025-04-30
30/04/2025,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,Bất động sản,Cập nhật kết quả XHTN,XHTN Công cụ nợ,BB-,Ổn định,VPMCH2431001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,143597,FiinRatings,2026-09-25 14:05:53,2025-04-30
29/04/2025,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842,FiinRatings,2026-09-25 14:05:53,2025-04-29
25/04/2025,Công ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-trach-nhiea-hữa-hạn-mot-thanh-vien-hoae-credit-viet-naa-id593806.html,593806,FiinRatings,2026-09-25 14:05:53,2025-04-25
